"","Brand","Sort","ABV","Brewery","ABV2"
"1055","Op-Ale","ale","5%","Affligem Brewery (Brewery De Smedt)",5
"1056","Opitter","export","","Brewery Sint-Jozef",NA
"1057","Ops-Ale","blond","5.5%","Brewery Sint-Jozef",5.5
"1058","Orval","trappist","6.2%","Abdij Notre-Dame d'Orval",6.2
"1059","Orvélo","tripel","7.5%","De Proefbrouwerij voor bierfirma Half Zeven",7.5
"1060","Oudbeitje","aardbeienlambiek","6%","Hanssens Artisanaal",6
"1061","Oud Bier","tafelbier","2.1%","Brewery Strubbe",2.1
"1062","Oud Tassels","tripel","8.5%","Brewery Boelens voor Bier- en Wijnhandel De Neys-Asselman",8.5
"1063","Oud Kriekenbier","fruitbier","6%","Brewery Strubbe",6
"1064","Oud Zottegems Bier","high fermentation","6.5%","Brewery Strubbe",6.5
"1065","Oude Geuze 3 Fonteinen","geuze","7%","Geuzestekerij 3 Fonteinen",7
"1066","Oude Geuze Vintage 3 Fonteinen","geuze","6%","Geuzestekerij 3 Fonteinen",6
"1067","Oude Geuze Boon","geuze","6.5%","Brewery Boon",6.5
"1068","Oude Geuze De Cam","geuze","6%","Geuzestekerij De Cam",6
"1069","Oude Geuze Oud Beersel","geuze","6%","Brewery Oud Beersel",6
"1070","Oude Gueuze Hanssens","geuze","6%","Hanssens Artisanaal",6
"1071","Oude Gueuze Tilquin à l'ancienne","geuze","6.0%","Gueuzerie Tilquin",6
"1072","Oude Kriek 3 Fonteinen","lambiek/kriek","6%","Geuzestekerij 3 Fonteinen",6
"1073","Oude Kriek Boon","lambiek","6.5%","Brewery Boon",6.5
"1074","Oude Kriek De Cam","lambiek/kriek","6.5%","Geuzestekerij De Cam",6.5
"1075","Oude Kriek Hanssens","lambiek/kriek","6%","Hanssens Artisanaal",6
"1076","Oude Kriek Oud Beersel","lambiek","6.5%","Brewery Oud Beersel",6.5
"1077","Oude Lambiek De Cam","lambiek","5%","Geuzestekerij De Cam",5
"1078","Oude Quetsche Tilquin à l'ancienne","lambiek","6.4%","Gueuzerie Tilquin",6.4
"1079","Outblack","Belgian Strong Ale","10%","De Struise Brouwers",10
"1080","Oxymore","amber, high fermentation","5%","Brasserie Oxymore",5
"1081","Paasei","bruin","7.8%","voor bierfirma Vacas",7.8
"1082","Pa-Gijs","bruin","8.5%","Brewery Boelens",8.5
"1083","Paix-Dieu","Abbey Beer","10%","Brasserie Caulier",10
"1084","Palm","spéciale belge","5.4%","Brewery Palm",5.4
"1085","Palm Dobbel","kerstbier","6%","Brewery Palm",6
"1086","Palm Green","alcoholarm","0.25%","Brewery Palm",0.25
"1087","Palm Hopper","high fermentation","6%","Brewery Palm",6
"1088","Palm N.A","alcoholarm","0.25%","Brewery Palm",0.25
"1089","Palm Royale","high fermentation","7.5%","Brewery Palm",7.5
"1090","Palm Sauvin","high fermentation","4.9%","Brewery Palm",4.9
"1091","Palm Speciale","spéciale belge","5.2%","Brewery Palm",5.2
"1092","Pandreitje","donkerblond","7%","Brewery De Regenboog",7
"1093","Pannepot","high fermentation","10%","De Struise Brouwers bij Brewery Deca",10
"1094","Pannepot Reserva","high fermentation, bruin","10%","De Struise Brouwers bij Brewery Deca",10
"1095","Pannepot Grand Reserva Vintage","high fermentation, bruin","10%","De Struise Brouwers bij Brewery Deca",10
"1096","Pannepeut","high fermentation","10%","De Struise Brouwers bij Brewery Deca",10
"1097","Papegaei","high fermentation","8%","Brewery Deca voor Verstraete",8
"1098","Passendale","amber","6%","Brewery Duvel Moortgat",6
"1099","Pater","streekbier","6%","De Scheldebrouwerij voor De Lelie",6
"1100","Pater Lieven Blond","Abbey Beer","6.5%","Brewery Van Den Bossche",6.5
"1101","Pater Lieven Bruin","Abbey Beer","6.5%","Brewery Van Den Bossche",6.5
"1102","Pater Lieven Tripel","Abbey Beer","8%","Brewery Van Den Bossche",8
"1103","Pater Lieven Wit","Abbey Beer","8%","Brewery Van Den Bossche",8
"1104","Pater Verbiest Blond","biologisch, blond","6.5%","De Proefbrouwerij",6.5
