"","Brand","Sort","ABV","Brewery","ABV2"
"1289","Smiske Bruin","dubbel","7%","Brewery Smisje",7
"1290","Smiske Extra","tripel","7%","Brewery Smisje",7
"1291","Smiske Winter","donker amber","11%","Brewery Smisje",11
"1292","Snaaskerstbier","kerstbier","8%","Brewery Deca",8
"1293","Snoek Blond","high fermentation","7.5%","Brewery Bavik voor “Mout- en Brouwhuis De Snoek”",7.5
"1294","Snoek Bruin","high fermentation","5.5%","Brewery Strubbe voor “Mout- en Brouwhuis De Snoek”",5.5
"1295","Snuffelbeer","goud, high fermentation","6%","Brewery De Regenboog",6
"1296","Sparta Pils","pils","5%","Brewery Van Steenberge",5
"1297","Special 6 Block","amber, high fermentation","6%","Brewery De Block",6
"1298","Special De Ryck","high fermentation, amber","5.5%","Brewery De Ryck",5.5
"1299","Special Extra Export Stout","stout","9%","De Dolle Brouwers",9
"1300","Special Roman","bruin","5.5%","Brewery Roman",5.5
"1301","Speciale 1900","amber","5%","Brewery Haacht",5
"1302","Spéciale de Brabant","pils","5.3%","Groep John Martin",5.3
"1303","Speculoos Bier","high fermentation (etiketbier)","8%","Brasserie d'Ecaussinnes",8
"1304","Spelziale","ale","4.5%","Brasserie Millevertus",4.5
"1305","Spioenkopje","fruitbier, witbier","5%","Brewery Strubbe voor den Haene",5
"1306","Spitfire Oud Balegems","amber","8.0%","Brewery Van Steenberge",8
"1307","Sint-Amatus","quadrupel","10.5%","De Struise Brouwers bij Brewery Deca",10.5
"1308","St. Bernardus Abt 12","high fermentation","10.5%","Brewery St. Bernardus",10.5
"1309","St. Bernardus Christmas Ale","kerstbier","10%","Brewery St. Bernardus",10
"1310","St. Bernardus Pater 6","high fermentation","6.7%","Brewery St. Bernardus",6.7
"1311","St. Bernardus Prior 8","high fermentation","8%","Brewery St. Bernardus",8
"1312","St. Bernardus Tripel","high fermentation","8%","Brewery St. Bernardus",8
"1313","St. Bernardus Witbier","witbier","5.5%","Brewery St. Bernardus",5.5
"1314","Sint-Idesbald Réserve Ten Duinen Blond","Erkend Belgisch Abbey Beer","6.5%","Brewery Huyghe",6.5
"1315","Sint-Idesbald Réserve Ten Duinen Dubbel","Erkend Belgisch Abbey Beer","8%","Brewery Huyghe",8
"1316","Sint-Idesbald Réserve Ten Duinen Rousse","Erkend Belgisch Abbey Beer","7%","Brewery Huyghe",7
"1317","Sint-Idesbald Réserve Ten Duinen Tripel","Erkend Belgisch Abbey Beer, tripel","9%","Brewery Huyghe",9
"1318","St. Benoit Blonde","Abbey Beer","6.3%","Brasserie du Bocq",6.3
"1319","St. Benoit Brune","Abbey Beer","6.5%","Brasserie du Bocq",6.5
"1320","St. Feuillien Blonde","[Erkend Belgisch Abbey Beer","7.5%","Brewery St-Feuillien",7.5
"1321","St. Feuillien Brune Réserve","Erkend Belgisch Abbey Beer","7.5%","Brewery St-Feuillien",7.5
"1322","Grand Cru St-Feuillien Grand Cru","Erkend Belgisch Abbey Beer","9.5%","Brasserie Saint Feuillien",9.5
"1323","St. Feuillien Triple","Erkend Belgisch Abbey Beer","8.5%","Brewery St-Feuillien",8.5
"1324","St. Feuillien Cuvée de Noël","Erkend Belgisch Abbey Beer, kerstbier","8.5%","Brewery St-Feuillien",8.5
"1325","St. Firminus Blond","Abbey Beer","","Brasserie Du Bocq",NA
"1326","St. Firminus Bruin","Abbey Beer","","Brasserie Du Bocq",NA
"1327","St. Louis Cassis","fruitbier","4.5%","Brewery Van Honsebrouck",4.5
"1328","St. Louis Framboise","frambozenbier","5 en 4.5%","Brewery Van Honsebrouck",NA
"1329","St. Louis Frambozen(bier)","frambozenbier","5%","Brewery Van Honsebrouck",5
"1330","St. Louis Gueuze","geuze","5 en 4.5%","Brewery Van Honsebrouck",NA
"1331","St. Louis Gueuze Fond Tradition","geuze","5%","Brewery Van Honsebrouck",5
"1332","St. Louis Kriek Lambic","kriek","4.5%","Brewery Van Honsebrouck",4.5
"1333","St. Louis Peche","fruitbier","3.5%","Brewery Van Honsebrouck",3.5
"1334","St. Louis Premium Cassis","fruitbier","3.2%","Brewery Van Honsebrouck",3.2
"1335","St. Louis Premium Faro","faro","3.2%","Brewery Van Honsebrouck",3.2
"1336","St. Louis Premium Framboise","fruitbier","2.8%","Brewery Van Honsebrouck",2.8
"1337","St. Louis Premium Kriek","kriek","3.2%","Brewery Van Honsebrouck",3.2
"1338","St. Louis Premium Pêche","fruitbier","2.6%","Brewery Van Honsebrouck",2.6
"1339","St. Paul Blond","Abbey Beer","5.3%","Brasserie du Bocq voor Brewery Sterkens",5.3
"1340","St. Paul Double","Abbey Beer","6.9%","Brasserie du Bocq voor Brewery Sterkens",6.9
"1341","St. Paul Speciale","Abbey Beer","5.5%","Brasserie du Bocq voor Brewery Sterkens",5.5
"1342","St. Paul Tripel","Abbey Beer, tripel","5%","Brasserie du Bocq voor Brewery Sterkens",5
"1343","St. Sebastiaan Dark","Abbey Beer","6.9%","Brasserie du Bocq voor Brewery Sterkens",6.9
"1344","St. Sebastiaan Grand Cru","Abbey Beer","7.6%","Brasserie du Bocq voor Brewery Sterkens",7.6
"1345","Star Blond","blond","0.4%","Brewery Haacht",0.4
"1346","Steenbrugge Blond","Abbey Beer, blond","6.5%","Brewery Palm",6.5
"1347","Steenbrugge Dubbel Bruin","Abbey Beer, tripel, bruin","6.5%","Brewery Palm (vroeger in Brewery De Gouden Boom)",6.5
"1348","Steenbrugge Tripel","Abbey Beer","8.7%","Brewery Palm (vroeger in Brewery De Gouden Boom)",8.7
"1349","Steenbrugge Wit","witbier","5%","Brewery Palm",5
"1350","Steendonk","witbier","4.5%","Brewery Duvel Moortgat",4.5
"1351","Steenuilke","high fermentation","6.5%","Brewery De Rijck",6.5
"1352","Stella Artois","pils, lage gisting","5.2%","InBev",5.2
"1353","Stepa","tripel, suikervrij","8%","De Proefbrouwerij voor Stepaja bvba",8
"1354","Stille Nacht","donker","12%","De Dolle Brouwers",12
"1355","Stoeren Bonk","amber","6.3%","Brewery Van Steenberge",6.3
"1356","Stoeren Bonk Blond","blond","8%","Brewery Van Steenberge",8
"1357","Stout Leroy","zoete stout","5%","Brewery Het Sas",5
"1358","Stoute Bie","donkerbruin","5.5%","Brewery De Bie",5.5
"1359","Stouterik","stout","4.5%","Brewery De Ranke voor Brasserie de la Senne",4.5
"1360","Straffe Hendrik","high fermentation, tripel","9%","Brewery De Halve Maan",9
"1361","Straffe Hendrik Quadrupel","high fermentation, speciaalbier","11%","Brewery De Halve Maan",11
"1362","Straffe Toeback","high fermentation","9.5%","Scheldebrouwerij",9.5
"1363","Straffe Winter","geuze","8%","Geuzestekerij 3 fonteinen",8
"1364","Strandgaper","goud","6.2%","De Scheldebrouwerij",6.2
"1365","Strandjuttersbier Mong De Vos","quadrupel","9.2%","Brewery Strubbe voor bierfirma Den Haene",9.2
"1366","Stropken","amber","7%","Brewery Bios",7
"1367","Strubbe Pils","pils","5.2%","Brewery Strubbe",5.2
"1368","Struise Rosse","high fermentation, Belgische pale ale","5%","De Struise Brouwers bij Brewery Deca",5
"1369","Struise Witte","high fermentation","5%","De Struise Brouwers bij Brewery Deca",5
"1370","Struiselensis","high fermentation, Belgische blonde ale","7%","De Struise Brouwers bij Brewery Deca",7
"1371","Suma Pils","etiketbier","5%","Brewery Het Sas",5
"1372","Super 64","high fermentation, amber","5%","Brasserie de Silly",5
"1373","Super des Fagnes Blonde","high fermentation, blond","7.5%","Brasserie des Fagnes",7.5
"1374","Super des Fagnes Brune","high fermentation, bruin","7.5%","Brasserie des Fagnes",7.5
"1375","Super des Fagnes Griottes","high fermentation, kriek","4.8%","Brasserie des Fagnes",4.8
"1376","Superpils","pils","4.3%","Brewery Strubbe",4.3
"1377","Sur-les-Bois Ambrée","high fermentation","8%","Brasserie La Botteresse de Sur-les-Bois",8
"1378","Sur-les-Bois Blonde","high fermentation","7%","Brasserie La Botteresse de Sur-les-Bois",7
"1379","Sur-les-Bois Brune","high fermentation","9%","Brasserie La Botteresse de Sur-les-Bois",9
"1380","Svea IPA","IPA","5%","De Struise Brouwers bij Brewery Deca",5
"1381","'t Baronneke","stout","6.5%","'t Hofbrouwerijke",6.5
"1382","'t Gaverhopke Blondje","high fermentation","6.8%","Brewery 't Gaverhopke",6.8
"1383","'t Gaverhopke Bruintje","high fermentation","6.8%","Brewery 't Gaverhopke",6.8
"1384","'t Gaverhopke Kerstbier","high fermentation, kerstbier","6.8%","Brewery 't Gaverhopke",6.8
"1385","'t Gaverhopke Kriek","high fermentation, fruitbier","6.8%","Brewery 't Gaverhopke",6.8
"1386","'t Gaverhopke Paasbier","high fermentation, paasbier","8%","Brewery 't Gaverhopke",8
"1387","'t Schoenlappertje","zwarte-bessenbier","6.5%","De Scheldebrouwerij",6.5
"1388","'t Smisje + dubbel IPA","IPA","10%","Brewery De Regenboog",10
"1389","'t Smisje Banananbier","fruitbier","6%","Brewery De Regenboog",6
"1390","'t Smisje BBBourgondier","high fermentation","12%","Brewery De Regenboog",12
"1391","'t Smisje Blond","high fermentation","6%","Brewery De Regenboog",6
"1392","'t Smisje Calva Reserva","high fermentation","12%","Brewery De Regenboog",12
"1393","'t Smisje Catherine The Great Imperial Stout","stout","10%","Brewery De Regenboog",10
"1394","'t Smisje Cuvee 2005","high fermentation","10%","Brewery De Regenboog",10
"1395","'t Smisje Dubbel","high fermentation","9%","Brewery De Regenboog",9
"1396","'t Smisje Fiori","high fermentation","7%","Brewery De Regenboog",7
"1397","'t Smisje Grande Reserva","high fermentation","11%","Brewery De Regenboog",11
"1398","'t Smisje Great Reserva","high fermentation","10%","Brewery De Regenboog",10
"1399","'t Smisje Halloween","high fermentation","10.5%","Brewery De Regenboog",10.5
"1400","'t Smisje Honing","honingbier","6%","Brewery De Regenboog",6
"1401","'t Smisje Honingbier Bruin","honingbier","6%","Brewery De Regenboog",6
"1402","'t Smisje Kuvee Elektrik 979 W","high fermentation","9%","Brewery De Regenboog",9
"1403","'t Smisje Meso","high fermentation","2.5%","Brewery De Regenboog",2.5
"1404","'t Smisje Sleedoornbier","fruitbier","6%","Brewery De Regenboog",6
"1405","'t Smisje Sleedoorn Extra","fruitbier","7%","Brewery De Regenboog",7
"1406","'t Smisje Speciaal","high fermentation","10.5%","Brewery De Regenboog",10.5
"1407","'t Smisje Tripel","tripel","9%","Brewery De Regenboog",9
"1408","'t Zelfde","blond","4%","Brewery Bosteels",4
"1409","'t Zwarte Gat Bier","donkerblond","6%","Brewery De Regenboog",6
"1410","Taras Boulba","blond","4.5%","Brewery De Ranke voor Brasserie de la Senne",4.5
"1411","Tatsevoet","speciale belge","6%","Brewery Het Alternatief bij Brewery Alvinne",6
"1412","Tempelier","speciaalbier","6%","Brasserie du Bocq voor Brewery Corsendonk",6
"1413","Ter Dolen Blond","blond","6.1%","Kasteelbrouwerij De Dool",6.1
"1414","Ter Dolen Donker","bruin","7.1%","Brewery Ter Dolen",7.1
"1415","Ter Dolen Kriek","fruitbier","4.5%","Brewery Ter Dolen",4.5
"1416","Ter Dolen Tripel","tripel","8.1%","Brewery Ter Dolen",8.1
"1417","Terracotta","blond","7%","Brewery De Regenboog",7
"1418","Thouroutenaere","blond","8.5%","Alken-Maes (Heineken)",8.5
"1419","Timmermans Caveau Gueuze","geuze","5.5%","Brewery Timmermans",5.5
"1420","Timmermans Faro Lambic","faro","4%","Brewery Timmermans",4
"1421","Timmermans Framboise Lambic","fruitbier","4%","Brewery Timmermans",4
"1422","Timmermans Gueuze Lambic","geuze","5%","Brewery Timmermans",5
"1423","Timmermans Kriek Lambic","kriek","4%","Brewery Timmermans",4
"1424","Timmermans Kriek Retro","fruitbier","5%","Brewery Timmermans",5
"1425","Timmermans Lambicus Blanche","witbier","4.5%","Brewery Timmermans",4.5
"1426","Timmermans Oude Gueuze","lambiek","5.5%","Brewery Timmermans",5.5
"1427","Timmermans Oude Kriek","kriekenlambiek","5.5%","Brewery Timmermans",5.5
"1428","Timmermans Pêche Lambic","fruitbier","4%","Brewery Timmermans",4
"1429","Timmermans Strawberry Lambic","fruitbier","4%","Brewery Timmermans",4
"1430","Timmermans Warme Kriek","kriek","4%","Brewery Timmermans",4
"1431","Tineke Van Heule","high fermentation","8%","Brewery Gulden Spoor",8
"1432","Titje","high fermentation, witbier","5%","Brasserie de Silly",5
"1433","Toetëlèr Amber Tripel","tripel","8.5%","Brewery Den Toetëlèr",8.5
"1434","Toetëlèr Speculaas","speculaasbier","8.5%","Brewery Den Toetëlèr",8.5
"1435","Toetëlèr Wit","witbier","5.2%","Brewery Den Toetëlèr",5.2
"1436","Tongerlo Blond","high fermentation, Abbey Beer","6%","Brewery Haacht",6
"1437","Tongerlo Bruin","high fermentation, Abbey Beer","6%","Brewery Haacht",6
"1438","Tongerlo Christmas","high fermentation, Abbey Beer","6.5%","Brewery Haacht",6.5
"1439","Tongerlo Tripel","high fermentation, Abbey Beer","8%","Brewery Haacht",8
"1440","Tongerlo Prior","high fermentation, Abbey Beer","8%","Brewery Haacht",8
"1441","Tonneke","high fermentation, amber","5%","Brewery Contreras",5
"1442","Toria Blond","high fermentation","6.5%","Brewery De Graal voor De Hoevebrouwers",6.5
"1443","Toria Tripel","high fermentation, tripel","8.7%","Brewery De Graal voor De Hoevebrouwers",8.7
"1444","Totentrekker","amber","5.5%","De Proefbrouwerij voor Buitenlust",5.5
"1445","Tournay","high fermentation","6.7%","Brasserie de Cazeau",6.7
"1446","Tournay de Noël","stout, kerstbier","8.2%","Brasserie de Cazeau",8.2
"1447","Tournay Noire","stout","7.6%","Brasserie de Cazeau",7.6
"1448","Tournée Générale","spéciale belge","6.5%","Brewery Duvel Moortgat",6.5
"1449","Tournée Générale Tripel Hop","blond, high fermentation","7.5%","Brewery Palm",7.5
"1450","Toverhekske","amber","5.9%","Brewery Walrave",5.9
"1451","Trammelantje","amber","6.5%","Brewery Strubbe voor Bierfirma Den Haene",6.5
"1452","Trappieter","amber","6.5%","De Proefbrouwerij voor Bierfirma Trappieter",6.5
"1453","Tremist","high fermentation, blond","6%","Brewery Van Eecke voor Extremis",6
"1454","Triest Blond","high fermentation","6%","Microbrouwerij Den Triest",6
"1455","Triest Dubbel","high fermentation","8%","Microbrouwerij Den Triest",8
"1456","Triest Kriek","witbier, fruitbier","5.2%","Microbrouwerij Den Triest",5.2
"1457","Triest Tripel","high fermentation, tripel","7.5%","Microbrouwerij Den Triest",7.5
"1458","Triest X-mas","high fermentation, kerstbier","8.5%","Microbrouwerij Den Triest",8.5
"1459","Tripel Kanunnik","tripel","8.2%","Brewery en stokerij Wilderen",8.2
"1460","Tripel Karmeliet","tripel","8.4%","Brewery Bosteels",8.4
"1461","Tripel Klok","tripel","8.5%","Brewery Boelens",8.5
"1462","Triple de Brabant","tripel, blond","8.5%","Groep John Martin",8.5
"1463","Triple Moine","tripel","7.3%","Brasserie Du Bocq",7.3
"1464","Trisser","tripel","7.5%","De Proefbrouwerij voor De Verhuisbrouwerij",7.5
"1465","Triverius","tarwebier","6.8%","Brewery De Graal",6.8
"1466","Troubadour Blond","blond","6.5%","De Proefbrouwerij voor Brewery The Musketeers",6.5
"1467","Troubadour Imperial Stout","imperial stout","9%","De Proefbrouwerij voor Brewery The Musketeers",9
"1468","Troubadour Magma","tripel India Pale Ale","9%","De Proefbrouwerij voor Brewery The Musketeers",9
"1469","Troubadour Obscura","stout","8.2%","De Proefbrouwerij voor Brewery The Musketeers",8.2
"1470","Troubadour Spéciale","speciale belge","5.7%","De Proefbrouwerij voor Brewery The Musketeers",5.7
"1471","Troublette","witbier","5%","Brasserie Caracole",5
"1472","TRPL","high fermentation, biologisch, tripel","8%","De Proefbrouwerij voor Brewery Jessenhofke",8
"1473","Tsjeeses","high fermentation, blond","10%","De Struise Brouwers",10
"1474","Tsjeeses Reserva","high fermentation, goud","10%","De Struise Brouwers",10
"1475","Tumulus 800","tarwebier","6%","De Proefbrouwerij in opdracht van De Kale Ridders",6
"1476","Tumulus Aura","tarwebier","5.5%","De Proefbrouwerij in opdracht van De Kale Ridders",5.5
"1477","Tumulus Magna","tarwebier","9%","De Proefbrouwerij in opdracht van De Kale Ridders",9
"1478","Tumulus Nera","tarwebier","8%","De Proefbrouwerij in opdracht van De Kale Ridders",8
"1479","Turnhoutse Patriot","saison","6.5%","Scheldebrouwerij voor Hobbybrouwerij Het Nest",6.5
"1480","Tuverbol","gemengde gisting","11%","Brewery Loterbol",11
"1481","Uilenspiegelbier","dubbel","7%","Brewery Van Steenberge",7
"1482","Uitzet 1730","tripel","6.8%","Brewery Van Steenberge voor Brewery Paeleman",6.8
"1483","Uitzet Kriekbier","fruitbier","7.5%","Brewery Van Steenberge voor Brewery Paeleman",7.5
"1484","Ulricher Extra","pils","5%","Brewery Girardin",5
"1485","Ultra Ambrée","ale, amber, high fermentation","7%","Brasserie d'Ecaussinnes",7
"1486","Ultra Fraîche","lichtblond","3.5%","Brasserie d'Ecaussinnes",3.5
"1487","Ultra Soif","blond, high fermentation","5%","Brasserie d'Ecaussinnes",5
"1488","Ultramour","fruitbier","5%","Brasserie d'Ecaussinnes",5
"1489","Ultra Blonde","blond","8%","Brasserie d'Ecaussinnes",8
"1490","Ultradélice","bruin","8%","Brasserie d'Ecaussinnes",8
"1491","Ultrabrune","donkerbruin","10%","Brasserie d'Ecaussinnes",10
"1492","Unkerzak","","","De Proefbrouwerij",NA
"1493","Urchon","high fermentation","7.5%","Brasserie des Légendes",7.5
"1494","Urthel Hop-It","blonde India Pale Ale","9.5%","Brewery De Koningshoeven in opdracht van Brewery Urthel",9.5
"1495","Urthel Hibernus Quentum","tripel","9%","Brewery De Leyerth",9
"1496","Urthel Parlus Magnificum","donkerbruin","7.5%","Brewery De Leyerth",7.5
"1497","Urthel Saisonnière","blond speciaalbier","6.0%","Brewery De Koningshoeven in opdracht van Brewery Urthel",6
"1498","Urthel Samaranth","amberkleurig speciaalbier, high fermentation","11.5%","Brewery De Koningshoeven in opdracht van Brewery Urthel",11.5
"1499","Urthel Tonicum Finiboldus","amber","7.5%","Brewery De Leyerth",7.5
"1500","Val-Dieu Blonde","Erkend Belgisch Abbey Beer","6%","Brewery Val-Dieu",6
"1501","Val-Dieu Brune","Erkend Belgisch Abbey Beer","8%","Brewery Val-Dieu",8
"1502","Val-Dieu Grand Cru","Erkend Belgisch Abbey Beer","10.5%","Brewery Val-Dieu",10.5
"1503","Val-Dieu Triple","Erkend Belgisch Abbey Beer, tripel","9%","Brewery Val-Dieu",9
"1504","Valeir Blond","high fermentation, blond","6.5%","Brewery Contreras",6.5
"1505","Valeir Divers","high fermentation, tripel","8.5%","Brewery Contreras",8.5
"1506","Valeir Donker","high fermentation","6.5%","Brewery Contreras",6.5
"1507","Valeir Extra","high fermentation, IPA","6.5%","Brewery Contreras",6.5
"1508","Vanderghinste oud bruin","West-Vlaams roodbruin","5.5%","Brewery Bockor",5.5
"1509","Vapeur cochonne","Belgian ale","9%","Brasserie à Vapeur",9
"1510","Vapeur en folie","Belgian ale","8%","Brasserie à Vapeur",8
"1511","Vedett Extra Blond","blond","5.2%","Brewery Duvel Moortgat",5.2
"1512","Vedett Extra White","witbier","4.7%","Brewery Duvel Moortgat",4.7
"1513","Verhaeghe Pils","pils","5.1%","Brewery Verhaeghe",5.1
"1514","Vicardin","tripel-gueuze","7%","Brewery Dilewyns",7
"1515","Vicaris Generaal","high fermentation","8.8%","Brewery Dilewyns",8.8
"1516","Vicaris Kerst","high fermentation, kerstbier","10%","Brewery Dilewyns",10
"1517","Vicaris Tripel","high fermentation, tripel","8.5%","Brewery Dilewyns",8.5
"1518","Vicaris Tripel-Gueuze","blend from Vicaris tripel and Lambic from Boon Brewery","7%","Brewery Dilewyns",7
"1519","Vicaris Quinto","high fermentation","5%","Brewery Dilewyns",5
"1520","Vichtenaar","roodbruine ale","5.1%","Brewery Verhaeghe",5.1
"1521","Vieux Bruges Blanche","etiketbier, witbier","4.5%","Brewery Van Honsebrouck",4.5
"1522","Vieux Bruges Framboise(s)","fruitbier","5 en 4.5%","Brewery Van Honsebrouck",NA
"1523","Vieux Bruges Gueuze","geuze","5%","Brewery Van Honsebrouck",5
"1524","Vieux Bruges Kriek","etiketbier","3.2%","Brewery Van Honsebrouck",3.2
"1525","Vieux Bruges Kriek Lambic","etiketbier","5%","Brewery Van Honsebrouck",5
"1526","Vieux Bruges Peche","fruitbier","3.5%","Brewery Van Honsebrouck",3.5
"1527","Vieux Bruxelles Gueuze","etiketbier","5%","Brewery Van Honsebrouck",5
"1528","Vieux Bruxelles Kriek","etiketbier","4%","Brewery Van Honsebrouck",4
"1529","Vieux Temps","speciale belge","5.2%","Anheuser-Busch InBev",5.2
"1530","Vingeronne","fruitbier, lambiek","6%","Brewery Cantillon",6
"1531","Villers Tripel","Abbey Beer, tripel","8%","Brewery Huyghe",8
"1532","Villers Vieille","Abbey Beer","7%","Brewery Huyghe",7
"1533","Viven Ale","speciale belge","5%","De Proefbrouwerij voor Beerdevelopment Viven",5
"1534","Viven Blond","blond","6.1%","De Proefbrouwerij voor Beerdevelopment Viven",6.1
"1535","Viven Bruin","dubbel","6.1%","De Proefbrouwerij voor Beerdevelopment Viven",6.1
"1536","Viven Imperial IPA","Imperial IPA","8%","De Proefbrouwerij voor Beerdevelopment Viven",8
"1537","Viven Porter","smoked Porter","7%","De Proefbrouwerij voor Beerdevelopment Viven",7
"1538","Vlaamsch Wit","witbier","4.5%","Brewery Van Honsebrouck",4.5
"1539","Vlaamsche Leeuw Blondje","blond","5.5%","Brewery Van Steenberge voor De Brewery van Vlaanderen",5.5
"1540","Vlaamsche Leeuw Donker","bruin","7.5%","Brewery Van Steenberge voor De Brewery van Vlaanderen",7.5
"1541","Vlaamsche Leeuw Tripel","tripel","8.5%","Brewery Van Steenberge voor De Brewery van Vlaanderen",8.5
"1542","Vlasbier","blond","6.5%","Brewery Van Eecke",6.5
"1543","Vlaskapelle","Vlaams roodbruin","5%","Brewery Gulden Spoor",5
"1544","Vlaskop","witbier","5.5%","Brewery Strubbe",5.5
"1545","Vleteren Alt","ale donker","8%","Brewery Deca",8
"1546","Vleteren Super 8 Blond","blond","8%","Brewery Deca",8
"1547","Vondel","donkerbruin","8.5%","Brewery Liefmans",8.5
"1548","Vossen met de Meynen Blond","etiketbier","6.5%","Brewery Het Anker",6.5
"1549","Vossen met de Meynen 69","high fermentation, blond","6.9%","Brewery Hof ten Dormaal",6.9
"1550","Vurig Bierreke","tripel","11.5%","Brewery DijkWaert",11.5
"1551","Vuuve","witbier","5%","Brewery De Regenboog",5
"1552","Waas Klok Bier Bruin","donker","8.5%","Brewery Boelens",8.5
"1553","Waas Klok Bier Tripel","tripel","8.5%","Brewery Boelens",8.5
"1554","Waase Wolf","amber","6%","Brewery Boelens",6
"1555","Waaslander","witbier","5%","Brewery Boelens",5
"1556","Waterloo Double 8 Dark","bruin","8.5%","Brasserie Du Bocq",8.5
"1557","Waterloo Tripel 7 Blond","blond","7.5%","Brasserie Du Bocq",7.5
"1558","Watneys Scotch Ale","scotch","8%","Alken-Maes",8
"1559","Watou Tripel","tripel","7.5%","Brewery St. Bernardus",7.5
"1560","Watou's Wit","witbier","5%","Brewery Van Eecke",5
"1561","Wechelse Tripel","etiketbier","7.5%","Brewery St. Bernardus voor café Den Toerist",7.5
"1562","West Pils","pils","5%","Brewery Het Sas",5
"1563","Westhoek","high fermentation","6%","De Struise Brouwers",6
"1564","Westhoek XX","high fermentation","6%","De Struise Brouwers",6
"1565","Westmalle Dubbel","trappist","7%","Brewery Westmalle",7
"1566","Westmalle Tripel","trappist","9.5%","Brewery Westmalle",9.5
"1567","Westvleteren Blond","trappist","5.8%","Sint-Sixtusabdij van Westvleteren",5.8
"1568","Westvleteren Zes","trappist","6.2%","Sint-Sixtusabdij van Westvleteren",6.2
"1569","Westvleteren Acht","trappist","8%","Sint-Sixtusabdij van Westvleteren",8
"1570","Westvleteren Twaalf","trappist","10.2%","Sint-Sixtusabdij van Westvleteren",10.2
"1571","Wevelgemse Tripel","tripel","8%","Brewery De Ranke voor Bierwinkel Bacelle",8
"1572","White by Mystic","witbier","5.1%","Brewery Haacht",5.1
"1573","Wieze Christmas Tripel Hop","tripel kerstbier","8%","Brewery Wieze",8
"1574","Wieze Tripel Blond","tripel","8%","Brewery Wieze",8
"1575","Wieze Tripel zoet Bruin","tripel","8%","Brewery Wieze",8
"1576","Wildebok","high fermentation, bockbier","6.5%","De Scheldebrouwerij",6.5
"1577","Wilderen Goud","high fermentation","6.2%","Brewery Wilderen",6.2
"1578","Wilderen Kriek","kriek","3.5%","Brewery Wilderen",3.5
"1579","Willy Kriegelbier","donkerblond","7%","Huisbrouwerij Sint Canarus",7
"1580","Winterkoninck","robijnrood","6.5%","Brewery De Koninck (Duvel-Moortgat)",6.5
"1581","Winterkoninkske","high fermentation","8.3%","Brewery Sint-Jozef voor brouwerij Kerkom",8.3
"1582","Winterkoninkske Haspengouwse Grand Cru","high fermentation, kerstbier","13%","Brewery Sint-Jozef voor brouwerij Kerkom",13
"1583","Wintersnood","winterbier","6.4%","‘t Hofbrouwerijke voor De Verhuisbrouwerij",6.4
"1584","Wit Goud","high fermentation","8%","Brewery Hof ten Dormaal",8
"1585","Witheer","witbier","5%","Scheldebrouwerij",5
"1586","Witkap Pater Dubbel","high fermentation, bruin","7%","Brewery Slaghmuylder",7
"1587","Witkap Pater Special","high fermentation, amber","5.5%","Brewery Slagmuylder",5.5
"1588","Witkap Pater Stimulo","high fermentation, blond","6%","Brewery Slaghmuylder",6
"1589","Witkap Pater Tripel","high fermentation, tripel","7.5%","Brewery Slagmuylder",7.5
"1590","Witte Pol","witbier","5.6%","Brewery Inter-Pol",5.6
"1591","Wittekerke","witbier","5%","Brewery Bavik",5
"1592","Wittekerke Passion","witbier, fruitbier","5.8%","Brewery Bavik",5.8
"1593","Wittekerke Rosé","witbier, fruitbier","4.3%","Brewery Bavik",4.3
"1594","Wittoen","high fermentation, tripel","7%","Brewery Strubbe",7
"1595","Wolf 7","blond","7.4%","Brewery Lupus",7.4
"1596","Wolf 8","donkerbruin","8.5%","Brewery Lupus",8.5
"1597","Wolf 9","amber","9%","Brewery Lupus",9
"1598","Wostyntje","mosterdbier","7%","Brewery De Regenboog",7
"1599","Xenophon’s Wine","","11%","De Struise Brouwers",11
"1600","X-Mas Beer","high fermentation, blond","8.5%","Brewery Contreras",8.5
"1601","XX Bitter","high fermentation, blond","6.2%","Brewery De Ranke",6.2
"1602","Yperman","ale","5.5%","Brewery Het Sas",5.5
"1603","Ypres","","7%","De Struise Brouwers",7
"1604","Yellow Mortal","ale","7.2%","Brewery Mortal's Beers",7.2
"1605","Zatte Bie","donker","9%","Brewery De Bie",9
"1606","Zeezuiper","goudblonde tripel","8%","De Scheldebrouwerij",8
"1607","Zennenat","high fermentation","6.0%","Brewery Den Herberg",6
"1608","Zeunt","high fermentation","7%","De Proefbrouwerij voor het Zeuntcomité",7
"1609","Zeven Zonden Gula","high fermentation, winterbier","9%","Brewery Gulden Spoor voor bierfirma Hugel",9
"1610","Zeven Zonden Luxuria","high fermentation, winterbier","8.5%","Brewery Gulden Spoor voor bierfirma Hugel",8.5
"1611","Zingende Blondine","high fermentation","9.8%","Brewery 't Gaverhopke",9.8
"1612","Zinnebir","blond","5.8%","Brewery De Ranke voor Brasserie de la Senne",5.8
"1613","Zonderik 100","blond, high fermentation","7%","De Proefbrouwerij voor Zonderik Beer Company",7
"1614","Zonderik Dubbel Donker","high fermentation","8%","De Proefbrouwerij voor Zonderik Beer Company",8
"1615","Zonderik Tripel","blond, tripel","8%","De Proefbrouwerij voor Zonderik Beer Company",8
"1616","Zonderix","amber, tripel","10%","De Proefbrouwerij voor Zonderik Beer Company",10
